n,
n,soddisfatto,p.pass.;agg.
b,soddisfazione,s.f.
n,sodo,agg.;s.m.;avv.
i,sofà,s.m.inv.
b,sofferenza,s.f.
n,soffermare,v.tr.
n,soffiare,v.intr.;v.tr.
i,soffice,agg.
i,soffitta,s.f.
n,soffitto,s.m.
n,soffocare,v.tr.;intr.
i,soffriggere,v.tr.;intr.
b,soffrire,v.tr.;intr.
n,sofisticato,p.pass.;agg.
n,software,s.m.inv.
n,soggettivo,agg.
b,1soggetto,s.m.
n,2soggetto,agg.
i,soggezione,s.f.
b,soggiorno,s.m.
n,soglia,s.f.
i,sogliola,s.f.
b,sognare,v.tr.;intr.
b,sogno,s.m.
i,1sol,s.m.inv.
i,solaio,s.m.
b,solamente,avv.;cong.
n,1solare,agg.;s.m.
n,solco,s.m.
b,soldato,s.m.
b,soldo,s.m.
b,sole,s.m.
n,solenne,agg.
n,solidarietà,s.f.inv.
n,1solido,agg.;s.m.
n,solitamente,avv.
n,solitario,agg.;s.m.
b,solito,agg.;s.m.
n,solitudine,s.f.
i,solletico,s.m.
b,sollevare,v.tr.
n,sollievo,s.m.
b,solo,agg.;s.m.;avv.;cong.
b,soltanto,avv.;cong.
b,soluzione,s.f.
n,somigliare,v.intr.;tr.
b,somma,s.f.
n,sommare,v.tr.;intr.
b,sondaggio,s.m.
b,sonno,s.m.
n,sonoro,agg.;s.m.
i,soppalco,s.m.
b,sopportare,v.tr.
b,sopra,prep.;avv.;agg.inv.;s.m.inv.
i,soprabito,s.m.
i,sopracciglio,s.m.
i,soprammobile,s.m.
i,soprannome,s.m.
b,soprattutto,avv.
i,sopravvalutare,v.tr.
n,sopravvivenza,s.f.
b,sopravvivere,v.intr.
i,sorcio,s.m.
n,sordo,agg.;s.m.
b,sorella,s.f.
n,sorgente,p.pres.;agg.;s.f.;s.m.
n,sorgere,v.intr.
i,sorpassare,v.tr.
i,sorpasso,s.m.
n,sorprendente,p.pres.;agg.
n,sorprendere,v.tr.
b,sorpresa,s.f.
i,sorridente,p.pres.;agg.
b,sorridere,v.intr.;tr.
b,1sorriso,s.m.
i,sorso,s.m.
b,1sorta,s.f.
n,1sorte,s.f.
i,sorteggiare,v.tr.
i,sorteggio,s.m.
n,sorvegliare,v.tr.
n,sospendere,v.tr.
n,sospensione,s.f.
n,sospeso,p.pass.;agg.;s.m.
n,sospettare,v.tr.;intr.
b,1sospetto,s.m.
b,2sospetto,agg.;s.m.
n,sospirare,v.intr.;tr.
n,sospiro,s.m.
n,sosta,s.f.
b,sostanza,s.f.
n,sostanzialmente,avv.
i,sostare,v.intr.;tr.
n,sostegno,s.m.
b,sostenere,v.tr.
n,sostenitore,agg.;s.m.
b,sostituire,v.tr.
n,sostituzione,s.f.
i,sottaceto,agg.inv.;avv.;s.m.
n,sotterraneo,agg.;s.m.
b,sottile,agg.;s.m.;avv.
i,sottinteso,p.pass.;agg.;s.m.
b,sotto,prep.;avv.;agg.inv.;s.m.inv.
n,sottofondo,s.m.
b,sottolineare,v.tr.
i,sottolio,avv.;agg.inv.
i,sottomarino,agg.;s.m.
i,sottopassaggio,s.m.
b,sottoporre,v.tr.
n,sottoscrivere,v.tr.;intr.
n,sottovalutare,v.tr.
n,sottrarre,v.tr.
n,sovietico,agg.;s.m.
n,sovrano,agg.;s.m.
n,sovrapporre,v.tr.
n,1spaccare,v.tr.
i,spaccatura,s.f.
n,spacciare,v.tr.
i,spacciatore,s.m.
i,spaccio,s.m.
n,spada,s.f.
n,1spaghetto,s.m.
b,spagnolo,agg.;s.m.
i,1spago,s.m.
n,spalancare,v.tr.
b,spalla,s.f.
i,spalmabile,agg.
i,spalmare,v.tr.
n,spam,s.m.inv.
b,1sparare,v.intr.;tr.
i,sparecchiare,v.tr.
n,spargere,v.tr.
b,sparire,v.intr.
n,1sparo,s.m.
n,sparso,p.pass.;agg.
n,1spassare,v.tr.
i,spasso,s.m.
i,spavaldo,agg.
b,spaventare,v.tr.
n,spaventato,p.pass.;agg.
n,spaventoso,agg.
n,spaziale,agg.
b,spazio,s.m.
i,spazioso,agg.
n,spazzare,v.tr.
n,spazzatura,s.f.
i,spazzino,s.m.
i,spazzola,s.f.
i,spazzolare,v.tr.
i,spazzolino,s.m.
i,spazzolone,s.m.
i,specchiarsi,v.pronom.intr.
b,specchio,s.m.
b,speciale,agg.;s.m.;s.f.
n,specialista,s.m.;f.
n,specializzato,p.pass.;agg.;s.m.
n,specialmente,avv.
b,specie,s.f.;avv.
n,specificare,v.tr.
b,specifico,agg.;s.m.
i,speck,s.m.inv.
n,spedire,v.tr.
n,spedizione,s.f.
b,spegnere,v.tr.
i,spellare,v.tr.
b,spendere,v.tr.
i,spennare,v.tr.
i,spensierato,agg.
n,spento,p.pass.;agg.
b,speranza,s.f.
b,1sperare,v.tr.;intr.
n,sperimenale,agg.
n,sperimentare,v.tr.
n,sperimentazione,s.f.
i,sperone,s.m.
b,spesa,s.f.
n,1spesso,agg.
b,2spesso,avv.
n,spessore,s.m.
n,spettacolare,agg.
b,spettacolo,s.m.
n,spettare,v.intr.
n,spettatore,s.m.
i,spettinare,v.tr.
n,spettro,s.m.
i,spezia,s.f.
n,spezzare,v.tr.
n,spia,s.f.
n,1spiacere,v.intr.
b,spiaggia,s.f.
i,spianare,v.tr.;intr.
n,spiare,v.tr.
i,spiazzo,s.m.
n,spiccare,v.tr.;intr.
i,spicciolo,agg.;s.m.
i,spiedino,s.m.
i,spiedo,s.m.
b,spiegare,v.tr.
b,spiegazione,s.f.
n,spietato,agg.
i,spiga,s.f.
i,spigolo,s.m.
i,1spillo,s.m.
n,spina,s.f.
i,spinacio,s.m.
b,spingere,v.tr.;intr.
n,spinta,s.f.
i,spionaggio,s.m.
b,spirito,s.m.
i,spiritoso,agg.
n,spirituale,agg.;s.m.
i,splendente,p.pres.;agg.
n,splendere,v.intr.
n,splendido,agg.
n,splendore,s.m.
n,spogliare,v.tr.
i,spogliatoio,s.m.
i,1spoglio,s.m.
i,spolverare,v.tr.
n,sponda,s.f.
n,spontaneo,agg.
n,sporcare,v.tr.
i,sporcizia,s.f.
b,sporco,agg.;s.m.
i,sporgente,p.pres.;agg.;s.m.
n,sporgere,v.tr.;intr.
b,sport,s.m.inv.;agg.inv.
n,sportello,s.m.
b,sportivo,agg.;s.m.
b,sposare,v.tr.;intr.
n,sposato,p.pass.;agg.;s.m.
n,sposo,s.m.
n,spostamento,s.m.
b,spostare,v.tr.
n,1spot,s.m.inv.
i,spranga,s.f.
i,spray,agg.inv.;s.m.inv.
n,sprecare,v.tr.
i,spreco,s.m.
i,spremere,v.tr.
i,spremuta,s.f.
n,sprofondare,v.intr.;tr.
i,sproposito,s.m.
i,spruzzare,v.tr.
i,spuma,s.f.
i,spumante,p.pres.;agg.;s.m.
n,1spuntare,v.tr.;intr.
i,spuntino,s.m.
n,1spunto,s.m.
n,sputare,v.intr.;tr.
i,sputo,s.m.
b,1squadra,s.f.
i,squallido,agg.
i,squalo,s.m.
i,squarcio,s.m.
n,squillare,v.intr.;tr.
i,squisito,agg.
n,stabile,agg.;s.m.;s.f.
b,stabilire,v.tr.
n,stabilità,s.f.inv.
b,staccare,v.tr.;intr.
i,1stacco,s.m.
n,stadio,s.m.
i,staffa,s.f.
b,stagione,s.f.
i,1stagno,s.m.
n,stalla,s.f.
i,stallone,s.m.
n,stamattina,avv.
b,stampa,s.f.
n,stampare,v.tr.
i,stampatello,s.m.
n,stampato,p.pass.;agg.;s.m.
i,stampella,s.f.
i,stampo,s.m.
n,stancare,v.tr.;v.intr.
n,stanchezza,s.f.
b,stanco,agg.
n,standard,s.m.inv.;agg.inv.
i,stanga,s.f.
n,stanotte,avv.
b,1stanza,s.f.
n,star,s.f.inv.
b,stare,v.intr.
b,stasera,avv.
n,statale,agg.;s.m.;f.
n,1statistica,s.f.
n,statistico,agg.;s.m.
b,1stato,s.m.
b,2stato,s.m.
n,statua,s.f.
n,statunitense,agg.;s.m.;f.
n,1status,s.m.inv.;lat.
n,stavolta,avv.
b,stazione,s.f.
b,1stella,s.f.
n,1stellare,agg.
n,1stendere,v.tr.
i,stendibiancheria,s.m.inv.
i,1stereo,agg.inv.;s.m.inv.
n,sterlina,s.f.
i,1sterzare,v.intr.
i,1sterzo,s.m.
b,stesso,agg.dimostr.;pron.dimostr.m.
b,stile,s.m.
n,stima,s.f.
n,stimare,v.tr.
n,stimolare,v.tr.
n,stimolo,s.m.
i,stinco,s.m.
i,stipendiare,v.tr.
b,stipendio,s.m.
n,stirare,v.tr.
i,stivaletto,s.m.
n,stoffa,s.f.
n,stomaco,s.m.
i,1stonare,v.tr.;intr.
i,1stop,loc. di comando;s.m.inv.
i,stoppa,s.f.
i,storcere,v.tr.
b,storia,s.f.
b,storico,agg.;s.m.
i,1stornello,s.m.
i,storta,s.f.
n,storto,p.pass.;agg.;avv.;s.m.
i,stoviglia,s.f.
i,stracchino,s.m.
n,1straccio,s.m.
b,strada,s.f.
n,stradale,agg.;s.m.;f.
n,strage,s.f.
i,strangolare,v.tr.
b,straniero,agg.;s.m.
b,strano,agg.
b,straordinario,agg.;s.m.
n,strappare,v.tr.;v.intr.
b,strategia,s.f.
n,strategico,agg.
n,strato,s.m.
b,strega,s.f.
n,stregare,v.tr.
i,stregone,s.m.
n,stress,s.m.inv.
n,stretta,s.f.
n,strettamente,avv.
b,stretto,p.pass.;agg.;s.m.
n,strillare,v.intr.;tr.
i,strillo,s.m.
i,stringa,s.f.
b,stringere,v.tr.;intr.
n,striscia,s.f.
n,strisciare,v.intr.;tr.
i,strofinaccio,s.m.
n,stronzata,s.f.
b,stronzo,s.m.;agg.
b,strumento,s.m.
i,strutto,p.pass.;agg.;s.m.
b,struttura,s.f.
n,strutturale,agg.
i,struzzo,s.m.
b,studente,s.m.
b,studiare,v.tr.
b,studio,s.m.
n,studioso,agg.;s.m.
i,stufa,s.f.
i,stuoia,s.f.
n,stupefacente,p.pres.;agg.;s.m.
n,stupendo,agg.
b,stupido,agg.;s.m.
n,stupire,v.tr.;intr.
n,stupito,p.pass.;agg.
n,stupore,s.m.
i,stuzzicadenti,s.m.inv.
i,stuzzicare,v.tr.
n,style,s.m.
b,su,prep.;avv.;inter.;s.m.inv.
b,subire,v.tr.
b,1subito,avv.
b,succedere,v.intr.
n,successione,s.f.
n,successivamente,avv.
b,successivo,agg.
b,1successo,s.m.
n,succhiare,v.tr.
n,succo,s.m.
b,sud,s.m.inv.;agg.inv.
i,sudamericano,agg.;s.m.
n,sudare,v.intr.;tr.
i,sudato,p.pass.;agg.
n,suddito,s.m.;agg.
n,suddividere,v.tr.
i,sudicio,agg.;s.m.
n,sudore,s.m.
i,sudtirolese,agg.;s.m.;f.
b,sufficiente,agg.
n,suggerimento,s.m.
b,suggerire,v.tr.
n,suggestivo,agg.
i,sughero,s.m.
n,sugo,s.m.
n,suicidio,s.m.
i,suino,s.m.;agg.
b,suo,agg.poss. di terza pers.sing.;pron.poss. di terza pers.sing.
i,suocera,s.f.
i,suocero,s.m.
i,suola,s.f.
n,suolo,s.m.
b,suonare,v.tr.;intr.
b,suono,s.m.
b,suora,s.f.;1superragg.inv.;s.m.;f.inv.
b,superare,v.tr.
i,superbia,s.f.
n,superficiale,agg.
b,superficie,s.f.
b,superiore,agg.;s.m.
n,supermercato,s.m.
n,supporre,v.tr.
n,supportare,v.tr.
b,supporto,s.m.
n,supremo,agg.
i,surgelato,p.pass.;agg.;s.m.
n,suscitare,v.tr.;intr.
i,susina,s.f.
i,susino,s.m.
i,susseguirsi,v.pronom.intr.
n,sussurrare,v.tr.;intr.
n,svanire,v.intr.
i,svedese,agg.;s.m.;f.
i,sveglia,s.f.
b,svegliare,v.tr.
i,svegliarsi,v.pronom.intr.
n,sveglio,p.pass.;agg.
n,svelare,v.tr.
i,1svelto,agg.
n,svenire,v.intr.
i,sventola,s.f.
b,sviluppare,v.tr.;v.intr.
n,sviluppato,p.pass.;agg.
b,sviluppo,s.m.
n,svizzero,agg.;s.m.
i,svolazzare,v.intr.;tr.
b,svolgere,v.tr.
i,svolgimento,s.m.
n,svolta,s.f.
n,svuotare,v.tr.
i,tabaccaio,s.m.
n,tabella,s.f.
i,tacca,s.f.
i,tacchino,s.m.
n,tacco,s.m.
b,tacere,v.intr.;tr.;s.m.
n,1tag,s.m.inv.;s.f.inv.
n,1taglia,s.f.
b,tagliare,v.tr.;intr.
i,tagliatella,s.f.
n,tagliato,p.pass.;agg.
i,tagliere,s.m.
b,taglio,s.m.
i,1tagliola,s.f.
i,talco,s.m.
b,tale,agg.dimostr.;agg.indef.;pron.dimostr.;pron.indef.;avv.
i,taleggio,s.m.
n,talento,s.m.
b,talmente,avv.
i,talpa,s.f.;agg.inv.;s.m.inv.
n,talvolta,avv.
i,tamburo,s.m.
i,tamponare,v.tr.
n,tangente,p.pres.;agg.;s.f.
b,tanto,agg.indef.;pron.indef.;pron.dimostr.;s.m.inv.;avv.;cong.
n,tappa,s.f.
n,tappare,v.tr.
i,tappetino,s.m.
n,tappeto,s.m.
i,tappezzare,v.tr.
i,tappo,s.m.
i,tarallo,s.m.
i,tarantella,s.f.
b,tardi,avv.
b,tardo,agg.;avv.
n,targa,s.f.
n,tariffa,s.f.
i,tarlo,s.m.
i,tartaruga,s.f.
i,1tartufo,s.m.
b,tasca,s.f.
b,tassa,s.f.
i,tassare,v.tr.
i,1tassello,s.m.
n,1tasso,s.m.
n,tastiera,s.f.
n,tasto,s.m.
i,tatto,s.m.
n,tatuaggio,s.m.
i,taverna,s.f.
b,tavola,s.f.
i,1tavoletta,s.f.
n,tavolino,s.m.
b,tavolo,s.m.
n,taxi,s.m.inv.
n,tazza,s.f.
n,tè,s.m.inv.
b,1te,pron.pers. di seconda pers.sing.
n,team,s.m.inv.
n,teatrale,agg.
b,teatro,s.m.
b,1tecnica,s.f.
n,tecnicamente,avv.
b,tecnico,agg.;s.m.
b,tecnologia,s.f.
n,tecnologico,agg.
b,tedesco,agg.;s.m.
i,tegame,s.m.
i,teglia,s.f.
i,tegola,s.f.
n,1tela,s.f.
i,telaio,s.m.
n,telecamera,s.f.
i,telecomandato,p.pass.;agg.
i,telecronaca,s.f.
i,telecronista,s.m.;f.
n,telefilm,s.m.inv.
b,telefonare,v.intr.;tr.
b,telefonata,s.f.
b,telefonico,agg.
n,telefonino,s.m.
b,telefono,s.m.
n,telegiornale,s.m.
i,telegrafico,agg.
i,telegrafo,s.m.
i,telegramma,s.m.
n,telescopio,s.m.
b,televisione,s.f.
b,televisivo,agg.
n,televisore,s.m.
b,1tema,s.m.
b,temere,v.tr.;intr.
b,temperatura,s.f.
n,tempesta,s.f.
n,tempio,s.m.
b,tempo,s.m.
n,1temporale,s.m.
n,temporaneo,agg.
i,tenaglia,s.f.
b,1tenda,s.f.
b,tendenza,s.f.
b,tendere,v.tr.;intr.
i,tenebra,s.f.
n,1tenente,s.m.
b,tenere,v.tr.;intr.
n,tenerezza,s.f.
n,tenero,agg.;s.m.
n,tennis,s.m.inv.
b,tensione,s.f.
b,tentare,v.tr.
b,tentativo,s.m.
n,tentazione,s.f.
n,1tenuta,s.f.
n,teologia,s.f.
n,teologo,s.m.
b,teoria,s.f.
n,1teorico,agg.;s.m.
b,terapia,s.f.
i,tergicristallo,s.m.
n,terminale,agg.;s.m.
b,terminare,v.tr.;intr.
b,termine,s.m.
i,termosifone,s.m.
b,terra,s.f.
n,terrazzo,s.m.
n,terremoto,s.m.
b,1terreno,s.m.
n,terrestre,agg.;s.m.;f.
b,terribile,agg.
i,terriccio,s.m.
n,territoriale,agg.;s.m.
b,territorio,s.m.
n,terrore,s.m.
n,terrorismo,s.m.
n,terrorista,agg.;s.m.;f.
n,terrorizzare,v.tr.
b,terzo,agg.num.ord.;s.m.
n,teschio,s.m.
b,1tesi,s.f.inv.
n,teso,p.pass.;agg.
b,tesoro,s.m.
n,tessera,s.f.
i,tessile,agg.;s.m.;f.
n,tessuto,p.pass.;agg.;s.m.
b,test,s.m.inv.
b,1testa,s.f.
n,testamento,s.m.
n,2testare,v.tr.
b,testimone,s.m.;f.;s.m.
n,testimonianza,s.f.
n,testimoniare,v.tr.;intr.
b,1testo,s.m.
n,tetta,s.f.
b,tetto,s.m.
i,tettoia,s.f.
n,tg,sigla
i,thermos,s.m.inv.
i,2ti,s.f.;m.inv.
b,1ti,pron.pers. di seconda pers.sing.
i,2tic,s.m.inv.
i,ticchettio,s.m.
n,tifare,v.intr.
i,tifo,s.m.
n,tifoso,agg.;s.m.
n,tigre,s.f.
i,timbro,s.m.
i,timidezza,s.f.
n,timido,agg.;s.m.
i,timone,s.m.
i,timoniere,s.m.
n,timore,s.m.
i,tinello,s.m.
i,1tino,s.m.
b,1tipico,agg.
b,tipo,s.m.
n,tipologia,s.f.
i,tiramisù,s.m.inv.
i,tiranno,s.m.;agg.
b,tirare,v.tr.;intr.
n,1tiro,s.m.
n,tirocinio,s.m.
i,tirrenico,agg.
i,tisana,s.f.
n,1titolare,agg.;s.m.;f.
b,titolo,s.m.
b,tivù,s.f.inv.
n,1tizio,s.m.
i,toast,s.m.inv.
b,toccare,v.tr.;intr.
n,1tocco,s.m.
b,togliere,v.tr.
i,toilette,s.f.inv.
i,toletta,s.f.
n,tolleranza,s.f.
n,tollerare,v.tr.
n,tomba,s.f.
i,1tombola,s.f.
i,tonaca,s.f.
n,tondo,agg.;s.m.
n,tonnellata,s.f.
i,tonno,s.m.
b,1tono,s.m.
i,tonsilla,s.f.
n,1top,s.m.inv.
n,topo,s.m.;s.m.inv.;agg.inv.
i,toppa,s.f.
i,torbido,agg.;s.m.
n,1torcere,v.tr.;intr.
i,torcia,s.f.
i,torcicollo,s.m.
i,tordo,s.m.
i,torero,s.m.
i,torinese,agg.;s.m.;f.
n,tormentare,v.tr.
i,tornaconto,s.m.
b,tornare,v.intr.;tr.
n,torneo,s.m.
i,tornio,s.m.
n,1toro,s.m.;s.m.inv.
n,1torre,s.f.
i,torrone,s.m.
n,1torta,s.f.
i,tortellino,s.m.
n,1torto,s.m.
i,tortora,s.f.;agg.inv.;s.m.inv.
i,tosare,v.tr.
n,toscano,agg.;s.m.
n,tosse,s.f.
n,1tossico,agg.;s.m.
i,tossire,v.intr.
i,tostapane,s.m.inv.
b,totale,agg.;s.m.
n,totalmente,avv.
n,tour,s.m.inv.
n,tovaglia,s.f.
i,tovaglietta,s.f.
i,tovagliolo,s.m.
b,tra,prep.
i,traballare,v.intr.
i,1traboccare,v.intr.;v.tr.
i,trabocchetto,s.m.
b,traccia,s.f.
n,tracciare,v.tr.
n,tradimento,s.m.
n,tradire,v.tr.
b,tradizionale,agg.
b,tradizione,s.f.
b,tradurre,v.tr.
b,traduzione,s.f.
b,traffico,s.m.
i,trafila,s.f.
i,traforo,s.m.
n,tragedia,s.f.
i,traghetto,s.m.
n,tragico,agg.;s.m.
i,trainare,v.tr.
n,trama,s.f.
i,tramezzino,s.m.
b,1tramite,s.m.;prep.
i,tramontare,v.intr.
n,1tramonto,s.m.
i,trampolino,s.m.
i,trancio,s.m.
b,tranne,prep.
n,tranquillamente,avv.
n,tranquillità,s.f.inv.
i,tranquillizzare,v.tr.
b,tranquillo,agg.;avv.;s.m.inv.
i,transito,s.m.
i,trapano,s.m.
i,trapezio,s.m.;agg.
i,trapianto,s.m.
n,trappola,s.f.
i,trapunta,s.f.
b,trarre,v.tr.;intr.
b,trascinare,v.tr.
b,trascorrere,v.tr.;intr.
n,trascrizione,s.f.
n,trascurare,v.tr.
n,trasferimento,s.m.
b,trasferire,v.tr.
b,trasformare,v.tr.
n,trasformazione,s.f.
i,trasfusione,s.f.
i,traslocare,v.tr.;v.intr.
i,trasloco,s.m.
b,trasmettere,v.tr.
b,trasmissione,s.f.
n,trasparente,agg.;s.m.
n,trasparenza,s.f.
n,trasportare,v.tr.
b,trasporto,s.m.
b,trattamento,s.m.
b,trattare,v.tr.;intr.
n,trattativa,s.f.
n,1trattato,s.m.
b,trattenere,v.tr.
i,trattenuta,s.f.
b,1tratto,s.m.
i,1trattore,s.m.
n,trauma,s.m.
i,travasare,v.tr.;v.intr.
i,travestire,v.tr.
n,travolgere,v.tr.
b,tre,agg.num.card.inv.;s.m.inv.;s.f.pl.
i,trebbiare,v.tr.
n,trecento,agg.num.card.inv.;s.m.inv.
n,tredici,agg.num.card.inv.;s.m.inv.;s.f.pl.
n,tremare,v.intr.
n,tremendo,agg.
n,trend,s.m.inv.
b,1treno,s.m.
b,trenta,agg.num.card.inv.;s.m.inv.
i,1trentino,agg.;s.m.
n,triangolo,s.m.
i,tribù,s.f.inv.
b,tribunale,s.m.
i,triestino,agg.;s.m.
i,trifoglio,s.m.
i,trina,s.f.
i,trincea,s.f.
n,trionfo,s.m.
b,triste,agg.
n,tristezza,s.f.
i,tritare,v.tr.
i,trofeo,s.m.
n,1tronco,s.m.
n,1trono,s.m.
b,troppo,agg.indef.;pron.indef.;avv.;s.m.
i,trota,s.f.
i,trottare,v.intr.
i,trottola,s.f.
b,1trovare,v.tr.
i,1truccare,v.tr.
n,1trucco,s.m.
n,2trucco,s.m.
n,truffa,s.f.
i,truffare,v.tr.
n,truppa,s.f.
i,t-shirt,s.f.inv.
b,tu,pron.pers. di seconda pers.sing.;s.m.inv.
n,tubo,s.m.
n,tuffare,v.tr.
i,1tuffo,s.m.
i,tulipano,s.m.
n,tumore,s.m.
i,tunica,s.f.
i,tunisino,agg.;s.m.
i,tunnel,s.m.inv.
b,tuo,agg.poss. di seconda pers.sing.;pron.poss. di seconda pers.sing.
i,1tuono,s.m.
n,turbare,v.tr.
n,turco,agg.;s.m.
n,turismo,s.m.
n,turista,s.m.;f.
n,turistico,agg.
b,turno,s.m.
n,tuta,s.f.
n,tutela,s.f.
n,2tutelare,v.tr.
i,tutore,s.m.
b,tuttavia,cong.;avv.
b,tutto,agg.indef.;pron.indef.;s.m.
n,tuttora,avv.
i,1u,s.f.;m.inv.
n,ubriaco,agg.;s.m.
b,uccello,s.m.
b,uccidere,v.tr.
i,ucraino,agg.;s.m.
n,udienza,s.f.
i,udinese,agg.;s.m.;f.
n,udire,v.tr.;intr.;s.m.
n,1ufficiale,s.m.
b,2ufficiale,agg.
n,ufficialmente,avv.
b,ufficio,s.m.
b,uguale,agg.;avv.;s.m.;f.;s.m.inv.
n,ugualmente,avv.
i,ulcera,s.f.
b,ulteriore,agg.
n,ulteriormente,avv.
n,ultimamente,avv.
b,ultimo,agg.;s.m.
i,ultravioletto,s.m.;agg.
b,umanità,s.f.inv.
b,umano,agg.;s.m.
i,umbro,agg.;s.m.
n,umido,agg.;s.m.
n,umile,agg.;s.m.;f.
n,umiliare,v.tr.
n,umore,s.m.
i,umorismo,s.m.
b,una,art.indet.f.sing.;pron.indef.;s.f.inv.
n,undici,agg.num.card.inv.;s.m.inv.;s.f.pl.;s.m.pl.
i,ungherese,agg.;s.m.;f.
n,unghia,s.f.
i,unguento,s.m.
b,unico,agg.;s.m.
n,2uniforme,agg.
n,1unione,s.f.
b,unire,v.tr.
b,unità,s.f.inv.
b,unito,p.pass.;agg.;s.m.
n,universale,agg.;s.m.
b,università,s.f.inv.
n,universitario,agg.;s.m.
b,1universo,s.m.
b,uno,agg.num.card.;s.m.inv.;art.indet.m.sing.;pron.indef.m.
b,uomo,s.m.
b,uovo,s.m.
i,uragano,s.m.
n,urbanistico,agg.
n,urbano,agg.
n,urgente,agg.
n,urgenza,s.f.
b,urlare,v.intr.;tr.
n,urlo,s.m.
i,urna,s.f.
n,urtare,v.tr.;intr.
b,usare,v.tr.;v.intr.
n,usato,p.pass.;agg.;s.m.
b,uscire,v.intr.
b,uscita,s.f.
i,usignolo,s.m.
b,1uso,s.m.
i,1utensile,s.m.
b,utente,s.m.;f.
n,utenza,s.f.
b,utile,agg.;s.m.
n,utilità,s.f.inv.
b,utilizzare,v.tr.
n,utilizzo,s.m.
n,vabbè,inter.
b,vacanza,s.f.
n,vacca,s.f.
i,1vaccino,s.m.
n,vaffanculo,inter.
n,vagare,v.intr.
i,vagire,v.intr.
n,1vago,agg.;s.m.
i,valanga,s.f.
i,valdostano,agg.;s.m.
b,valere,v.intr.;tr.
n,valido,agg.
n,valigia,s.f.
n,valle,s.f.
b,valore,s.m.
n,valorizzare,v.tr.
i,valoroso,agg.;s.m.
b,valutare,v.tr.
n,valutazione,s.f.
i,valvola,s.f.
i,vampata,s.f.
n,vampiro,s.m.
i,vandalo,agg.;s.m.
i,vanga,s.f.
n,vangelo,s.m.
i,vanitoso,agg.;s.m.
n,vano,agg.;s.m.
b,vantaggio,s.m.
i,vantaggioso,agg.
n,vantare,v.tr.
i,vanto,s.m.
n,vapore,s.m.
n,variabile,agg.;s.f.
n,variante,p.pres.;agg.;s.f.;s.m.
n,variare,v.tr.;intr.
n,variazione,s.f.
n,1varietà,s.f.inv.
b,vario,agg.;agg.indef.;pron.indef.;s.m.
i,variopinto,agg.
n,vasca,s.f.
n,vaso,s.m.
n,vasto,agg.;s.m.
b,1ve,pron.pers. di seconda pers.pl.;avv.
b,1vecchio,agg.;s.m.
b,vedere,v.tr.;intr.;s.m.
n,vedova,s.f.
n,vegetale,agg.;s.m.
i,veglia,s.f.
i,veglione,s.m.
n,veicolo,s.m.
n,vela,s.f.
n,veleno,s.m.
i,velenoso,agg.
i,vellutato,p.pass.;agg.
i,1velluto,s.m.
n,velo,s.m.
b,veloce,agg.;avv.;s.f.
n,velocemente,avv.
b,velocità,s.f.inv.
n,1vena,s.f.
i,vendemmiare,v.tr.;intr.
b,vendere,v.tr.
n,vendetta,s.f.
n,vendicare,v.tr.
b,vendita,s.f.
n,venditore,agg.;s.m.
b,venerdì,s.m.inv.
n,veneto,agg.;s.m.
i,veneziano,agg.;s.m.
b,1venire,v.intr.
i,ventaglio,s.m.
i,ventata,s.f.
b,venti,agg.num.card.inv.;s.m.inv.;s.f.pl.
n,venticinque,agg.num.card.inv.;s.m.inv.
i,ventilatore,agg.;s.m.
n,ventina,s.f.
n,ventiquattro,agg.num.card.inv.;s.m.inv.;s.f.pl.
b,vento,s.m.
n,ventre,s.m.
i,1venuta,s.f.
b,veramente,avv.
b,verbale,agg.;s.m.
n,verbo,s.m.
b,verde,agg.;s.m.;s.f.
n,verdura,s.f.
n,vergine,agg.;s.f.;s.f.inv.
n,vergogna,s.f.
n,vergognarsi,v.pronom.intr.
n,verifica,s.f.
b,verificare,v.tr.
b,verità,s.f.inv.
n,verme,s.m.
n,vernice,s.f.
b,vero,agg.;s.m.
b,1versare,v.tr.
b,versione,s.f.
b,1verso,s.m.
b,4verso,prep.
i,vertebra,s.f.
n,verticale,agg.;s.f.;s.m.
n,vertice,s.m.
i,vertigine,s.f.
n,vescovo,s.m.;agg.
i,vespa,s.f.
n,veste,s.f.
b,vestire,v.tr.;intr.
b,1vestito,s.m.
n,2vestito,p.pass.;agg.
i,veterinario,agg.;s.m.
n,1vetrina,s.f.
b,vetro,s.m.
n,vettura,s.f.
b,1vi,pron.pers. di seconda pers.pl.;pron.dimostr.;avv.
b,via,s.f.;avv.;inter.;s.m.inv.
b,viaggiare,v.intr.;tr.
n,viaggiatore,s.m.
i,viaggiatrice,s.f.
b,viaggio,s.m.
n,viale,s.m.
n,vibrare,v.tr.;intr.
n,1vice,s.m.;f.inv.
b,vicenda,s.f.
n,viceversa,avv.
n,vicinanza,s.f.
b,vicino,agg.;s.m.;avv.
n,vicolo,s.m.
b,1video,agg.inv.;s.m.inv.
n,videogioco,s.m.
i,viennese,agg.;s.m.;f.
n,vietare,v.tr.
n,vigile,agg.;s.m.;f.
n,vigilia,s.f.
i,1vigna,s.f.
n,vigore,s.m.
b,villa,s.f.
b,villaggio,s.m.
n,vincente,p.pres.;agg.;s.m.;f.
b,vincere,v.tr.;intr.
n,vincitore,agg.;s.m.
